id,cuisine
18009,southern_us
28583,southern_us
41580,italian
29752,cajun_creole
35687,french
38527,filipino
19666,southern_us
41217,chinese
28753,mexican
22659,british
21749,italian
44967,greek
42969,indian
44883,italian
20827,british
23196,brazilian
35387,italian
33780,southern_us
19001,indian
16526,southern_us
42455,japanese
47453,italian
42478,irish
11885,chinese
16585,italian
29639,southern_us
26245,chinese
38516,korean
47520,italian
26212,southern_us
23696,mexican
14926,thai
13292,japanese
27346,japanese
1384,chinese
15959,spanish
42297,russian
46235,indian
21181,indian
9809,cajun_creole
22982,cajun_creole
23120,chinese
26743,french
12741,mexican
7050,italian
22437,italian
14760,spanish
10649,british
48065,vietnamese
39931,japanese
32935,italian
40142,vietnamese
19103,indian
38267,mexican
30512,italian
3324,chinese
26197,italian
384,japanese
47230,chinese
39748,italian
41038,french
24878,mexican
42624,filipino
45706,mexican
8874,mexican
23878,greek
47234,mexican
24075,thai
46323,italian
22562,italian
11358,french
9201,indian
38620,italian
47638,russian
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,southern_us
20798,greek
24381,chinese
48178,spanish
45832,french
27560,korean
23247,french
28975,british
43230,greek
9126,italian
13021,cajun_creole
28194,chinese
25617,indian
36125,italian
16454,mexican
1607,filipino
38526,moroccan
18755,southern_us
12035,british
16047,greek
15419,italian
16971,indian
31459,cajun_creole
27888,french
13900,italian
12376,thai
1658,japanese
29431,japanese
22290,italian
28464,italian
37953,korean
20814,italian
35987,brazilian
2329,italian
43237,mexican
30647,british
16675,italian
37722,mexican
32438,japanese
20287,vietnamese
43296,indian
6237,greek
48560,korean
20810,mexican
34951,french
31850,filipino
47745,jamaican
37815,mexican
9872,italian
5592,italian
27411,thai
39320,indian
40247,russian
19792,mexican
40754,italian
14365,mexican
14468,southern_us
47563,mexican
19611,italian
7163,mexican
43069,irish
27505,chinese
36500,thai
25932,southern_us
817,italian
8471,french
48250,southern_us
9413,cajun_creole
12097,cajun_creole
8416,greek
5892,italian
676,southern_us
47015,chinese
21891,italian
14630,french
36195,thai
25981,mexican
39964,french
28298,indian
31954,italian
26620,mexican
14932,russian
47426,british
1038,southern_us
8077,southern_us
37141,southern_us
45447,british
9624,mexican
45589,chinese
7265,southern_us
31844,southern_us
13046,italian
9867,southern_us
29184,italian
34783,greek
2823,vietnamese
18932,mexican
11112,mexican
12859,thai
9365,italian
44516,cajun_creole
18193,irish
46545,italian
9900,mexican
14815,brazilian
39690,italian
22193,southern_us
11739,italian
27311,chinese
36920,indian
7861,indian
29248,moroccan
43142,mexican
7574,italian
8610,mexican
989,italian
46926,moroccan
40816,mexican
39726,chinese
42229,irish
10474,italian
22140,mexican
31985,indian
46165,japanese
20860,italian
42494,italian
15968,french
20484,vietnamese
26661,brazilian
47182,mexican
22528,british
3861,indian
1203,british
45040,southern_us
33287,indian
10097,southern_us
42005,southern_us
12423,spanish
39613,mexican
30276,brazilian
18686,mexican
3031,russian
40093,italian
182,italian
46591,mexican
4092,chinese
13722,southern_us
44575,italian
14989,italian
13270,italian
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,thai
11735,cajun_creole
27935,italian
28198,mexican
37765,indian
33856,southern_us
30198,greek
42521,mexican
21567,russian
36995,russian
24967,thai
45002,russian
48925,mexican
36914,mexican
2280,southern_us
14729,cajun_creole
4594,italian
2237,mexican
45631,moroccan
2317,chinese
23079,brazilian
29333,chinese
48066,southern_us
15737,italian
30580,jamaican
1119,spanish
46336,moroccan
5026,mexican
10749,filipino
31020,mexican
30805,italian
27653,southern_us
35060,italian
39174,mexican
49509,italian
31784,italian
31408,french
36029,mexican
11045,italian
6561,irish
26992,southern_us
31179,southern_us
35099,mexican
11018,korean
17930,mexican
21302,italian
46352,thai
25132,mexican
7010,mexican
25850,southern_us
19601,mexican
7935,italian
34994,filipino
25113,italian
45523,italian
34977,southern_us
7124,southern_us
27514,russian
